words,pos
lừa đảo,"noun,verb"
lửa,noun
lứa,noun
lựa,"verb,noun"
lực,noun
lực lưỡng,adjective
lực lượng,noun
lực sĩ,noun
lưng,noun
lừng lẫy,adjective
lửng lơ,adjective
lược,noun
lược đồ,noun
lược khảo,other
lược thuật,noun
lười biếng,adjective
lưỡi,noun
lưỡi gươm,noun
lưỡi khoan,noun
lưỡi lê,noun
lưới,noun
lưới nhện,noun
lưới tình,other
lườm,verb
lượm,verb
lươn,noun
lươn lẹo,other
lượn,verb
lương,noun
lương khô,noun
lương tâm,noun
lương thiện,adjective
lương thực,noun
lưỡng lự,adjective
lưỡng quyền,other
lượng,noun
lượng thứ,other
lướt,verb
lượt,noun
lưu,"verb,noun"
lưu danh,other
lưu đày,"verb,noun"
lưu động,"noun,adjective"
lưu hành,"verb,noun"
lưu lạc,"verb,noun"
lưu luyến,"verb,noun"
lưu manh,noun
lưu tâm,other
lưu thông,noun
lưu vong,noun
lưu vực,noun
lựu,noun
lựu đạn,noun
ly,other
ly biệt,other
ly bôi,other
ly dị,other
ly hương,noun
ly tán,other
ly tâm,"noun,adjective"
lý,other
lý do,other
lý giải,"verb,noun"
lý hóa,other
lý lịch,noun
lý luận,noun
lý thuyết,noun
lý trí,other
lý tưởng,"noun,adjective"
ma,other
ma cà bông,noun
ma cà rồng,noun
ma cô,other
ma dút,noun
ma két,noun
ma lem,other
ma lực,noun
ma men,other
ma quỷ,noun
ma túy,noun
mà,other
mà cả,other
mả,noun
mã,"noun,adjective"
mã hóa,"verb,noun"
mã lực,noun
mã não,noun
mã phu,noun
mã tấu,noun
mã thượng,other
má,other
má đào,noun
mạ,noun
mạ bạc,noun
mạ điện,noun
mạ vàng,noun
mác,other
mạc,other
mách,verb
mạch,noun
mạch lạc,adjective
mạch máu,noun
mạch nha,noun
mai,other
mai hoa,other
mai mái,other
mai mối,noun
mai phục,other
mai sau,other
mai táng,other
mài,verb
mài miệt,other
mải,other
mãi dâm,noun
mãi mãi,other
mái,noun
mái chèo,noun
mái hiên,noun
mái tóc,noun
man,noun
man di,other
man mác,other
man rợ,noun
man trá,noun
màn,noun
màn ảnh,noun
màn bạc,noun
mãn,adjective
mãn nguyện,adjective
mạn,adjective
mang,"verb,noun"
mang máng,"verb,noun"
mang tiếng,other
màng,verb
màng nhĩ,noun
màng trinh,other
mảng,noun
mãng cầu,noun
mãng xà,noun
máng,"verb,noun"
mạng,noun
mạng bạc,noun
mạng lưới,noun
mạng mỡ,noun
mạng nhện,noun
manh,other
manh mối,noun
manh nha,other
manh tâm,noun
mành,noun
mảnh mai,adjective
mãnh liệt,adjective
mãnh thú,noun
mánh lới,noun
mạnh,adjective
mạnh dạn,adjective
mạnh khỏe,adjective
mao quản,other
mào,other
mạo hiểm,"noun,verb"
mạo nhận,"noun,verb"
mát,other
mạt,noun
mạt cưa,noun
mạt sát,other
mạt vận,other
mau,adjective
mau chóng,other
mau mắn,adjective
màu,noun
màu mè,other
màu mỡ,noun
màu sắc,other
máu,noun
máu tham,other
may,"noun,verb"
may mà,other
may mắn,adjective
may sẵn,other
mày,other
máy,noun
máy chữ,noun
máy giặt,noun
máy in,noun
máy tính,noun
mắc,verb
mắc cỡ,adjective
mắc lừa,other
mắc nợ,other
mặc,verb
mặc cảm,other
mặc dầu,other
mặc dù,other
mặc niệm,other
mặc sức,other
mắm,noun
mặn,adjective
mặn nồng,other
măng,noun
măng cụt,noun
măng đô,noun
măng tây,noun
mắng,verb
mắt,noun
mắt cá,noun
mắt lưới,noun
mặt,noun
mặt hàng,noun
mặt nạ,noun
mặt phẳng,noun
mặt tiền,noun
mặt trăng,noun
mặt trận,noun
mâm,noun
mầm,noun
mầm non,noun
mân mê,verb
mẫn cán,adjective
mận,noun
mấp máy,verb
mấp mé,adjective
mấp mô,adjective
mập,adjective
mập mạp,adjective
mập mờ,adjective
mất,verb
mất cắp,other
mất dạy,other
mất mùa,other
mất ngủ,other
mất tích,other
mất trí,other
mật,noun
mật độ,noun
mật khu,other
mật lệnh,noun
mật mã,noun
mật mía,noun
mật ong,noun
mật vụ,noun
mâu thuẫn,noun
mẫu,noun
mẫu đơn,noun
mẫu giáo,noun
mẫu hệ,noun
mẫu mã,noun
mẫu số,noun
mấu,noun
mậu dịch,noun
mây,noun
me,other
mè,other
mẻ,noun
mé,noun
mẹ,noun
men,other
men sứ,noun
men tình,noun
meo,noun
mèo,noun
méo,"noun,adjective"
mẹo,noun
mép,adjective
mét,other
mê,"verb,adjective"
mê lộ,other
mê ly,noun
mê man,adjective
mê mê,adjective
mê muội,adjective
mê sảng,adjective
mê tín,other
mềm,adjective
mềm mỏng,adjective
mền,noun
mến,"verb,adjective"
mến phục,other
mênh mông,adjective
mệt,adjective
mệt mỏi,adjective
mếu,verb
mì,noun
mí mắt,noun
mị dân,other
mỉa mai,adjective
mía,noun
miên man,adjective
miền,noun
miễn,other
miễn cưỡng,adjective
miễn dịch,noun
miễn phí,other
miễn thuế,other
miễn thứ,other
miễn trừ,other
miếng,noun
miệng,noun
miệng lưỡi,noun
miệt mài,adjective
miêu tả,"verb,noun"
miếu,noun
mỉm cười,other
mím,other
mìn,other
minh bạch,other
minh châu,other
minh họa,other
minh mẫn,adjective
mình,other
mistake,other
mít,"verb,noun"
mò,other
mỏ,noun
mỏ neo,noun
mỏ vàng,noun
mỏ vịt,noun
mõ,other
móc,verb
móc sắt,other
mọc,verb
mọc răng,other
moi,other
mọi,other
mõm,noun
mòn,noun
món,noun
mong,"verb,adjective"
mong manh,adjective
mỏng,adjective
mỏng tanh,adjective
móng tay,noun
móng vuốt,noun
mót,other
mọt,other
mô,other
mô hình,noun
mô phạm,noun
mô phỏng,noun
mô tả,"verb,noun"
mô tô,noun
mô tơ,noun
mồ,noun
mồ côi,noun
mồ hôi,noun
mổ,verb
mổ xẻ,"verb,noun"
mộ bia,noun
mộ chí,other
mộ địa,noun
mộ phần,noun
mộc mạc,adjective
môi,noun
môi giới,noun
mồi,noun
mỗi,other
mối,noun
mối tình,noun
môn,noun
môn bài,noun
môn đệ,noun
môn học,noun
môn phái,other
mông,noun
mông quạnh,noun
mộng,noun
mộng du,noun
mộng mị,noun
mốt,noun
một,other
một chút,other
một vài,other
mơ,"verb,noun"
mơ hồ,adjective
mơ mộng,"verb,noun"
mơ tưởng,"verb,noun"
mơ ước,"noun,verb"
mờ,adjective
mở,verb
mở đầu,other
mở màn,other
mở mang,verb
mở mắt,other
mở miệng,other
mỡ,noun
mớ,noun
mời,verb
mới,adjective
mơn trớn,other
mu,other
mù,adjective
mù mịt,adjective
mủ,noun
mũ,noun
mua,verb
mua bán,other
mua chuộc,other
mua sắm,other
mua vui,other
mùa,noun
mùa màng,noun
múa,verb
múa võ,other
mục đích,noun
mục đồng,noun
mục kích,"noun,verb"
mục kỉnh,other
mục lục,noun
mục tiêu,noun
mui,noun
mùi,noun
mùi soa,other
mùi vị,noun
mũi,noun
mũi tên,noun
muỗi,noun
muối,noun
muốn,verb
muộn,adjective
mưa,noun
mửa,verb
mực,noun
mừng,"verb,adjective"
mướn,verb
mượn,verb
mưu,"verb,noun"
mưu sinh,other
mỹ lệ,adjective
mỹ nữ,noun
mỹ thuật,noun
mỹ vị,noun
mỹ ý,adjective
na,other
na ná,other
na pan,other
na tri,other
nả,other
nã,adjective
ná,other
ná cao su,noun
nạc,adjective
nách,noun
nách lá,noun
nai,other
nai lưng,other
nài,other
nài nỉ,other
nải,noun
nái,other
nam,noun
nam châm,other
nam cực,other
nam nữ,other
nam tính,adjective
nám,noun
nạm,noun
nan,noun
nan giải,other
nản,"adjective,verb"
nạn,noun
nạn nhân,noun
nang,"adjective,verb"
nàng,other
nàng dâu,noun
nàng hầu,noun
nàng tiên,other
nạng,noun
nanh,other
nanh ác,adjective
nanh sấu,noun
nanh vuốt,noun
nao lòng,other
nao núng,other
nào,other
não,noun
não nùng,adjective
náo nhiệt,other
nạo,verb
nạo óc,noun
nạo vét,"verb,noun"
nạp,verb
nạp thuế,other
nát,other
nát nhàu,adjective
nát óc,other
nạt nộ,other
nay,other
này,other
nảy,verb
nảy ra,other
nạy,other
năm,noun
năm học,other
năm mươi,other
nằm,verb
nằm mê,other
nằm ngủ,other
nằm vạ,other
nắm,verb
nắm xương,noun
nắn,verb
năng lực,noun
năng lượng,noun
năng nổ,adjective
năng suất,noun
nắng,noun
nắng ráo,other
nặng,adjective
nặng lời,other
nặng mùi,other
nặng nề,adjective
nặng nhọc,adjective
nặng tình,other
nắp,noun
nấc,noun
nấm,noun
nâng,verb
nâng đỡ,"verb,noun"
nấp,verb
nâu,adjective
nấu ăn,other
nẻ,adjective
né,other
né tránh,other
needly,other
nem,noun
ném,verb
nén,adjective
nén giận,other
nén lòng,other
neo,noun
nẻo,noun
nép,noun
nẹp,noun
nét,adjective
nề hà,other
nể,verb
nêm,noun
nếm,verb
nệm,noun
nên,other
nền,noun
nền móng,noun
nền nếp,noun
nền tảng,noun
nêu,verb
nếu,other
nếu không,other
nga,other
nga văn,other
ngà,noun
ngà ngà say,other
ngà voi,noun
ngả,verb
ngả lưng,other
ngả mũ,other
ngả nghiêng,other
ngã,"verb,noun"
ngã nước,other
ngạc nhiên,adjective
ngách,noun
ngai,other
ngài,other
ngái ngủ,other
ngại,adjective
ngại ngùng,adjective
ngàn,noun
ngán,adjective
ngạn,other
ngạn ngữ,noun
ngang,adjective
ngang hàng,other
ngang ngửa,adjective
ngang nhiên,adjective
ngang trái,other
ngáng,adjective
ngành ngọn,other
ngảnh cổ,other
ngạnh,noun
ngao,noun
ngào,verb
ngào ngạt,adjective
ngáo,other
ngạo,adjective
ngạo mạn,adjective
ngạo nghễ,adjective
ngáp,verb
ngạt,adjective
ngạt hơi,other
ngạt ngào,adjective
ngay,adverb
ngay cả,other
ngay đơ,other
ngay khi,other
ngay thẳng,adjective
ngay thật,other
ngày,noun
ngày công,other
ngày giỗ,other
ngày giờ,other
ngày lễ,other
ngày mai,other
ngày mùa,other
ngày nay,other
ngày ngày,other
ngày sinh,other
ngày tháng,other
ngày xưa,other
ngáy,other
ngắm,verb
ngăn,noun
ngăn cấm,other
ngăn nắp,adjective
ngắn,adjective
ngắt,verb
ngặt nghèo,adjective
ngâm,verb
ngâm nga,other
ngầm,adjective
ngẫm,verb
ngấm,verb
ngậm,verb
ngậm ngùi,other
ngân,noun
ngân hà,noun
ngân hàng,noun
ngân khoản,noun
ngân phiếu,noun
ngân quỹ,noun
ngân sách,noun
ngần ngại,other
ngần ngừ,other
ngẩn ngơ,adjective
ngập,"verb,adjective"
ngập ngừng,"verb,adjective"
ngất ngưởng,noun
ngẫu hứng,"noun,adjective"
ngẫu nhiên,adjective
ngây dại,adjective
ngây ngất,adjective
ngây thơ,adjective
nghe,verb
nghe lén,other
nghẹn,verb
nghẹn ngào,"verb,adjective"
nghèo,adjective
nghèo hèn,adjective
nghèo nàn,"adjective,noun"
nghèo túng,other
nghẹt mũi,other
nghề,noun
nghệ,noun
nghệ nhân,noun
nghệ sĩ,noun
nghệ thuật,noun
nghển,other
nghênh chiến,noun
nghênh tân,other
nghi,"verb,noun"
nghi thức,noun
nghi vấn,other
nghỉ,verb
nghỉ việc,other
nghĩ,verb
nghị định,other
nghị hòa,other
nghị luận,other
nghị lực,noun
nghị quyết,other
nghị sĩ,noun
nghĩa,noun
nghĩa địa,other
nghĩa vụ,other
nghịch,"adjective,verb"
nghịch cảnh,noun
nghiêm,adjective
nghiêm cấm,other
nghiêm khắc,adjective
nghiêm trọng,adjective
nghiên cứu,"verb,noun"
nghiền,verb
nghiến,verb
nghinh,other
nghinh chiến,other
nghinh ngang,other
ngỏ,"adjective,noun"
ngõ,noun
ngõ hẻm,noun
ngó,other
ngoài,adverb
ngoài đường,other
ngoài ra,other
ngoại giao,noun
ngoại ngữ,noun
ngoại ô,noun
ngoại quốc,noun
ngoại thương,noun
ngoạm,verb
ngoan,adjective
ngoan cố,adjective
ngoan ngoãn,adjective
ngoạn mục,adjective
ngoằn ngèo,adjective
ngọc,noun
ngọc lan,other
ngọc trai,noun
ngòi,noun
ngòi viết,noun
ngói,noun
ngon,adjective
ngón chân,noun
ngọn,noun
ngọn ngành,adjective
ngọt,adjective
ngô,noun
ngộ độc,noun
ngộ nhận,noun
ngốc,adjective
ngôi,noun
ngồi,verb
ngồi ì,other
ngồi tù,other
ngôn ngữ,noun
ngôn từ,noun
ngông cuồng,adjective
ngỗng,noun
ngơ ngác,adjective
ngờ,"verb,adjective"
ngỡ,other
ngu,other
ngu dân,noun
ngủ,verb
ngũ,other
ngũ quan,noun
ngũ vị,noun
ngụ,verb
ngụ ngôn,noun
ngục,noun
nguội,adjective
nguồn,noun
nguồn gốc,noun
nguy hiểm,adjective
nguy nga,adjective
ngụy trang,noun
nguyên chất,other
nguyên nhân,noun
nguyên tắc,noun
nguyên tử,noun
nguyện vọng,noun
nguyệt cầm,noun
ngư phủ,noun
ngữ pháp,noun
ngứa,adjective
ngựa,noun
ngựa cái,noun
ngựa ô,noun
ngực,noun
ngừng,verb
ngược đãi,other
người,noun
người đẹp,other
người điên,other
người ta,other
người yêu,other
ngưỡng mộ,"verb,noun"
ngượng,adjective
ngượng nghịu,adjective
ngưu,noun
nha,noun
nha khoa,noun
nha phiến,noun
nha sĩ,other
nhà,noun
nhà ăn,other
nhà bác học,other
nhà báo,noun
nhà bè,other
nhà bếp,noun
nhà chứa,other
nhà ga,noun
nhà hàng,noun
nhà in,other
nhà khách,noun
nhà lãnh đạo,other
nhà máy,noun
nhà nghề,noun
nhà nước,other
nhà riêng,other
nhà tang,other
nhà táng,noun
nhà tắm,noun
nhà thơ,other
nhà thờ,other
nhà thương,noun
nhà trọ,noun
nhà văn,noun
nhà xuất bản,other
nhã nhặn,adjective
nhá nhem,other
nhạc,noun
nhai,verb
nhài,verb
nhái,noun
nhàm,other
nhám,adjective
nhan sắc,noun
nhàn,adjective
nhàn du,other
nhàn nhã,adjective
nhãn,noun
nhãn cầu,noun
nhãn hiệu,noun
nhãn khoa,other
nhãn lực,noun
nhạn,noun
nhang,noun
nhanh,adjective
nhanh chóng,adverb
nhanh nhẹn,adjective
nhanh trí,other
nhánh,noun
nhạo,verb
nhát,other
nhạt,adjective
nhau,other
nhàu,noun
nhay,"verb,adjective"
nhảy,verb
nhảy dù,other
nhảy sào,other
nhảy vọt,other
nhảy xa,other
nháy,other
nhắc,verb
nhắc lại,other
nhắc nhở,"verb,noun"
nhằm,other
nhắm,verb
nhắm hướng,other
nhăn,adjective
nhăn mặt,other
nhăn nheo,adjective
nhăn nhíu,"verb,adjective"
nhăn nhó,adjective
nhẵn nhụi,adjective
nhặng,noun
nhắp,verb
nhặt,verb
nhân,noun
nhân ái,other
nhân bản,noun
nhân cách,other
nhân chứng,noun
nhân công,noun
nhân danh,other
nhân dân,other
nhân dịp,other
nhân đạo,other
nhân đức,noun
nhân hậu,adjective
nhân khẩu,noun
nhân loại,noun
nhân tạo,other
nhân từ,other
nhân viên,noun
nhẫn,noun
nhẫn nại,noun
nhẫn tâm,adjective
nhấn mạnh,other
nhận,verb
nhận biết,other
nhận chìm,other
nhận định,"noun,verb"
nhận lời,other
nhận mặt,other
nhận ra,other
nhận thức,"noun,verb"
nhập khẩu,noun
nhập ngũ,other
nhất,other
nhất định,other
nhất quán,other
nhất quyết,other
nhất trí,other
nhật báo,noun
nhật ký,noun
nhật thực,noun
nhậu,verb
nhẹ,adjective
nhẹ dạ,other
nheo nhóc,other
nhện,noun
nhi đồng,noun
nhi khoa,other
nhì,other
nhì nhằng,adjective
nhì nhèo,adjective
nhĩ,other
nhí,adjective
nhí nhảnh,adjective
nhị,other
nhị trùng âm,other
nhiễm bịnh,other
nhiễm sắc,other
nhiệm kỳ,other
nhiệm mầu,"noun,adjective"
nhiệm vụ,noun
nhiên liệu,noun
nhiếp ảnh,noun
nhiệt độ,noun
nhiệt liệt,adjective
nhiệt lượng,noun
nhiều,adjective
nhiều lời,other
nhiều tiền,other
nhiễu nhương,other
nhìn,verb
nhìn nhận,other
nhìn thấy,other
nhịn đói,other
nhịn nhục,"verb,noun"
nhỉnh,adjective
nhíp,noun
nhịp,noun
nho,noun
nho gia,other
nho giáo,other
nho học,other
nho nhã,adjective
nho nhỏ,adjective
nho sĩ,other
nhỏ,adjective
nhỏ nhặt,adjective
nhỏ nhẻ,other
nhỏ nhẹ,other
nhỏ nhen,other
nhọc nhằn,verb
nhóm,noun
nhón gót,other
nhọn,adjective
nhổ cỏ,other
nhổ răng,other
nhồi bột,"verb,noun"
nhồi sọ,other
nhôm,noun
nhộn,adjective
nhộn nhịp,adjective
nhông,noun
nhồng,other
nhộng,noun
nhốt,verb
nhột,adjective
nhơ,other
nhơ nhuốc,adjective
nhờ,verb
nhớ,verb
nhớ nhà,other
nhớt,adjective
nhu cầu,other
nhu động,other
nhu mì,other
nhu nhược,adjective
nhũ dịch,noun
nhũ tương,noun
nhuận trường,noun
nhục,"adjective,noun"
nhục dục,noun
nhục đậu khấu,noun
nhục hình,noun
nhục mạ,noun
nhục nhã,adjective
nhục thể,noun
nhuệ khí,other
nhún nhường,other
nhung,other
nhúng,verb
nhuộm,verb
như,other
như thế,other
như vầy,other
như vậy,other
nhử,other
nhựa,noun
nhựa sống,noun
nhức,adjective
nhức răng,other
nhưng,other
nhược điểm,noun
nhường lại,other
nhường nhịn,other
nhượng bộ,noun
ni cô,other
ni lông,noun
ni tơ,other
nỉ,noun
nia,other
nĩa,noun
ních,other
niêm,other
niêm luật,noun
niêm phong,noun
niêm yết,"verb,noun"
niềm nở,adjective
niên,noun
niên đại,noun
niên giám,noun
niêu thiếu,other
nín,other
nín khóc,other
nịnh hót,"verb,adjective"
níu,verb
no,"noun,verb"
nỏ,noun
nó,noun
nọc,noun
nói,verb
nói bậy,other
nói chuyện,other
nói dối,"verb,noun"
nói đùa,"verb,noun"
nói giùm,other
nói lái,other
nói láo,other
nói lắp,other
nói lên,other
nói liều,other
nói lóng,other
nói năng,"verb,noun"
nói quanh,other
nói thật,other
non nước,other
nón,noun
nóng,adjective
nóng lòng,other
nô đùa,other
nô lệ,noun
nổ,verb
nổ súng,other
nồi,noun
nổi,"verb,adjective"
nổi giận,other
nổi tiếng,other
nối,verb
nối nghiệp,other
nội bộ,noun
nội các,noun
nội chiến,noun
nội chính,other
nội công,noun
nội dung,noun
nội địa,noun
nội động từ,other
nội gián,noun
nội hóa,"verb,noun"
nội khóa,noun
nội thương,noun
nội tiết,noun
nội trợ,noun
nội trú,noun
nội vụ,noun
nôm,other
nông,adjective
nông cạn,adjective
nông dân,noun
nông sản,noun
nồng hậu,adjective
nồng nàn,adjective
nốt,other
nơ,other
nở,verb
nỡ to,other
nợ,"verb,noun"
nơi,noun
nới,other
nơm,noun
nụ,noun
nụ cười,noun
nùi,noun
núi,noun
núi lửa,noun
núi non,noun
núm,other
núm vú,noun
nung,other
nung nấu,"verb,noun"
nũng nịu,adjective
nuôi,verb
nuôi dưỡng,"verb,noun"
nuôi nấng,verb
nuôi tầm,"verb,noun"
nuông chiều,"verb,noun"
nuốt,verb
nuốt chửng,verb
nuốt giận,other
núp,other
nút,noun
nữ,"adjective,noun"
nữ công,noun
nữ giới,noun
nữ hoàng,noun
nữ sinh,noun
nữ tính,adjective
nữ trang,noun
nửa,noun
nửa đêm,other
nửa tá,noun
nữa,other
nựng,verb
nước,noun
nước da,other
nước đá,noun
nước hoa,noun
nước uống,noun
nương,noun
nương náu,noun
nướng,verb
nứt,verb
nứt ra,other
o,other
o bế,other
ó,other
oa oa,other
oa trữ,other
òa,other
oác oác,other
oách,other
oai,other
oai danh,other
oai hùng,other
oai linh,other
oai nghiêm,other
oai oái,adjective
oai vệ,other
oải,other
oái ăm,other
oan,adjective
oan cừu,noun
oan hồn,noun
oan nghiệt,adjective
oan trái,other
oan uổng,adjective
oán,adjective
oán ghét,other
oán giận,other
oán hận,noun
oán than,noun
oán trách,other
oanh kích,"verb,noun"
oanh liệt,adjective
oằn,verb
oắt,noun
oắt con,noun
óc,other
óc châm biếm,other
ọc,other
ọc ạch,adjective
oi,other
oi ả,other
oi bức,other
oi khói,other
oi nồng,"adjective,noun"
oi nước,other
ói,other
ói máu,other
om,other
om sòm,adjective
òm ọp,noun
ong,other
ong mật,noun
ong nghệ,other
ong thợ,other
ong vò vẽ,noun
ỏng bụng,other
ỏng ẹo,other
óng ả,adjective
óng ánh,other
ót,other
ô,other
ô chữ,other
ô danh,noun
ô hay,other
ô hô,noun
ô hợp,"noun,adjective"
ô nhiễm,noun
ô nhục,adjective
ô tô,noun
ô trọc,noun
ô uế,"noun,adjective"
ồ,other
ồ ạt,other
ổ,noun
ổ bi,noun
ổ chuột,noun
ổ gà,noun
ổ khóa,noun
ổ kiến,noun
ổ mối,noun
ốc,noun
ốc xà cừ,noun
ôi,other
ổi,other
ối,other
ôm,verb
ôm ấp,"verb,noun"
ôm chân,other
ôm đồm,noun
ồm ộp,other
ốm,adjective
ốm yếu,adjective
ôn,adjective
ôn đới,noun
ôn hòa,adjective
ôn tập,other
ôn tồn,noun
ồn,adjective
ổn,adjective
ổn định,adjective
ông,other
ông bà,other
ông tổ,other
ông tướng,other
ông vãi,other
ống,noun
ống chân,noun
ống chỉ,noun
ống điếu,noun
ống khói,noun
ống nhòm,noun
ống tiêm,noun
ống trời,noun
ốp,noun
ốt dột,noun
ơ,other
ở,other
ở đời,other
ở riêng,other
ở trọ,other
ớ,other
ợ,other
ới,other
ỡm ờ,other
ơn,other
ớn,other
ớn lạnh,other
ớt,noun
pha,"verb,noun"
pha lê,noun
pha trò,other
phà,noun
phá,verb
phá án,noun
phá bĩnh,other
phá đám,other
phá giá,other
phá hại,"verb,noun"
phá hoại,verb
phá hủy,verb
phá kỷ lục,other
phá phách,noun
phá quấy,"verb,noun"
phá rối,"verb,noun"
phá sản,noun
phá thai,other
phá trinh,other
phác,other
phác họa,"verb,noun"
phách,noun
phách lối,other
phai,other
phải,other
phải biết,other
phải cách,other
phải chăng,other
phải đạo,other
phải lẽ,other
phải lòng,other
phải quấy,other
phái,other
phái bộ,other
phái đẹp,other
phái đoàn,noun
phái viên,noun
phàm,other
phàm phu,other
phàm tục,other
phạm,other
phạm nhân,noun
phạm pháp,noun
phạm trù,other
phạm vi,other
phàn nàn,"noun,verb"
phản,other
phản ánh,"verb,noun"
phản chiếu,"verb,noun"
phản công,"noun,verb"
phản dân chủ,other
phản đề,noun
phản đối,"verb,noun"
phản động,"adjective,noun"
phản nghịch,adjective
phản ứng,"noun,verb"
phản xạ,"noun,verb"
phán,noun
phán quyết,noun
phang,verb
phảng phất,adverb
phanh,other
phanh phui,adjective
phanh thây,other
phao,noun
phao tin,noun
pháo,noun
pháo binh,noun
pháo bông,noun
pháo đài,noun
pháo kích,noun
pháp,other
pháp chế,other
pháp lí,other
pháp lịnh,other
pháp luật,other
phát,"verb,noun"
phát biểu,"verb,noun"
phát đạt,adjective
phát giác,"verb,noun"
phát hành,verb
phát minh,noun
phát ngôn,noun
phát thanh,noun
phát xít,noun
phạt,verb
phẳng,adjective
phẳng lặng,adjective
phẳng lì,adjective
phẳng phiu,adjective
phẩm,noun
phẩm chất,noun
phẩm giá,other
phẩm hạnh,noun
phẩm vật,noun
phân,noun
phân biệt,"verb,noun"
phân bón,noun
phân cấp,other
phân chất,noun
phân chia,other
phân công,"noun,verb"
phân giải,"verb,noun"
phân loại,"noun,verb"
phân ly,noun
phân số,noun
phân tích,"verb,noun"
phân tử,noun
phân ưu,other
phần,noun
phần thưởng,noun
phấn,noun
phấn chấn,adjective
phấn đấu,verb
phấn hoa,noun
phấn khởi,adjective
phấn nộ,other
phận sự,noun
phất,other
phất phơ,other
phật,noun
phật tử,noun
phe,noun
phe cánh,noun
phe đảng,other
phe phái,"noun,adjective"
phè phỡn,noun
phen,other
phèn,noun
phèng la,other
phép,noun
phép lạ,noun
phép tính,noun
phê bình,other
phê chuẩn,other
phế bỏ,verb
phế nhân,noun
phế phẩm,noun
phế tật,noun
phế truất,"verb,noun"
phế vật,noun
phệ,other
phễu,noun
phi,other
phi cảng,other
phi công,noun
phi cơ,noun
phi đội,other
phi hành đoàn,noun
phi lý,other
phi thường,adjective
phì nhiêu,other
phỉ báng,verb
phí phạm,adjective
phí tổn,noun
phía,noun
phía trước,other
phích nước,noun
phịch,other
phiếm du,noun
phiếm luận,noun
phiếm thần,noun
phiên,noun
phiên âm,noun
phiên dịch,"noun,verb"
phiền,"adjective,verb"
phiền hà,other
phiền lòng,other
phiền muộn,noun
phiền nhiễu,noun
phiền phức,adjective
phiến,noun
phiến loạn,noun
phiện,other
phiêu lưu,"noun,verb"
phiếu,noun
phiếu xuất,noun
phim,noun
phím,noun
phỉnh gạt,"verb,noun"
pho tượng,noun
phò,noun
phò mã,noun
phó,noun
phó bản,noun
phó mát,other
phó thác,other
phó từ,other
phong,noun
phong bì,noun
phong cảnh,noun
phong dao,other
phong kiến,noun
phong lan,other
phong nhã,other
phong phú,adjective
phong tỏa,other
phong trào,other
phòng,noun
phòng ăn,noun
phòng bệnh,other
phòng bị,noun
phòng dịch,other
phòng đợi,noun
phòng không,other
phòng ngự,noun
phòng ngừa,other
phòng thí nghiệm,other
phòng xa,other
phỏng,verb
phỏng đoán,"verb,noun"
phỏng tác,noun
phỏng vấn,noun
phóng,verb
phóng đãng,adjective
phóng thích,verb
phóng uế,noun
phóng viên,noun
phóng xạ,noun
phô trương,other
phổ biến,adjective
phổ thông,other
phố,noun
phôi pha,noun
phôi thai,noun
phổi,noun
phồng,"verb,adjective"
phơi,verb
phơi bày,verb
phơi phới,adjective
phu,other
phu mỏ,noun
phu nhân,other
phu thê,other
phù du,noun
phù hợp,other
phù phép,"verb,noun"
phù phiếm,adjective
phù rễ,noun
phù sa,noun
phù thủy,noun
phủ,noun
phủ đầu,other
phủ định,"noun,adjective"
phủ nhận,verb
phủ quyết,noun
phũ,adjective
phũ phàng,adjective
phú nông,noun
phú quí,adjective
phú thương,noun
phụ,"adjective,noun"
phụ âm,noun
phụ bạc,noun
phụ cấp,noun
phụ dịch,noun
phụ huynh,noun
phụ khoa,noun
phụ lái,noun
phụ lục,noun
phụ nữ,other
phụ tá,noun
phụ thân,noun
phụ trách,other
phụ trương,noun
phụ tùng,noun
phúc,noun
phúc đức,noun
phúc trình,noun
phục,"verb,noun"
phục dịch,noun
phục kích,other
phục sinh,"verb,noun"
phục viên,noun
phun,verb
phung phí,verb
phụng,noun
phụng dưỡng,"verb,noun"
phụng sự,verb
phút,noun
phức tạp,adjective
phương,other
phương châm,other
phương diện,noun
phương pháp,noun
phương thuốc,noun
phương thức,noun
phương tiện,noun
phương trình,noun
phường,noun
phượng,noun
pin,noun
qua,other
qua đời,other
qua loa,other
qua lọc,other
qua ngày,other
qua quít,other
quà,noun
quà cáp,noun
quà sáng,other
quà tặng,other
quả,noun
quả cảm,noun
quả cân,noun
quả cật,noun
quả đấm,noun
quả đất,noun
quả quyết,"adjective,verb"
quả tang,other
quá,other
quá cố,other
quá độ,other
quá khứ,other
quá trình,noun
quạ,noun
quai hàm,noun
quái dị,adjective
quái vật,noun
quan điểm,noun
quan hệ,other
quan niệm,other
quan sát,other
quan tài,noun
quan trọng,adjective
quản,"verb,noun"
quản đốc,noun
quản gia,noun
quản lý,"noun,verb"
quản ngại,other
quản thúc,verb
quản trị,"noun,verb"
quán,noun
quán quân,noun
quán tính,noun
quán trọ,noun
quán xuyến,other
quang,other
quang cảnh,noun
quang đãng,adjective
quang học,noun
quang minh,other
quang phổ,noun
quang tuyến,other
quang vinh,other
quàng,verb
quàng xiên,noun
quảng cáo,noun
quảng đại,adjective
quảng trường,noun
quãng,other
quáng,other
quáng gà,noun
quanh,other
quanh co,other
quanh quẩn,other
quanh quất,other
